_id,FinancialYear,HBR,HBRQF,AgeGroup,Sex,Dataset,DatasetQF,DischargeCount,DischargeCountQF,DischargeRates,DischargeRatesQF,PatientsCount,PatientCountQF,PatientsRates,PatientRatesQF
212,2018/19,S92000003,d,0-17 years,Female,Total,d,700, ,139.46, ,440, ,87.66, 
213,2018/19,S92000003,d,18-24 years,Male,Total,d,1440, ,601.19, ,890, ,371.57, 
214,2018/19,S92000003,d,18-24 years,Female,Total,d,1370, ,588.98, ,740, ,318.14, 
215,2018/19,S92000003,d,25-39 years,Male,Total,d,5690, ,1055.22, ,3150, ,584.17, 
216,2018/19,S92000003,d,25-39 years,Female,Total,d,3870, ,700.61, ,2050, ,371.13, 
217,2018/19,S92000003,d,40-64 years,Male,Total,d,10440, ,1181.93, ,5330, ,603.42, 
218,2018/19,S92000003,d,40-64 years,Female,Total,d,6750, ,721.03, ,3590, ,383.48, 
219,2018/19,S92000003,d,65plus years,Male,Total,d,7790, ,1694.05, ,3890, ,845.94, 
220,2018/19,S92000003,d,65plus years,Female,Total,d,10340, ,1825.99, ,4920, ,868.85, 
221,2019/20,S92000003,d,0-17 years,Male,Total,d,520, ,98.57, ,330, ,62.56, 
222,2019/20,S92000003,d,0-17 years,Female,Total,d,770, ,153.5, ,480, ,95.69, 
223,2019/20,S92000003,d,18-24 years,Male,Total,d,1360, ,575.1, ,880, ,372.13, 
224,2019/20,S92000003,d,18-24 years,Female,Total,d,1490, ,649.3, ,850, ,370.41, 
225,2019/20,S92000003,d,25-39 years,Male,Total,d,6180, ,1131.03, ,3290, ,602.12, 
226,2019/20,S92000003,d,25-39 years,Female,Total,d,3830, ,686.58, ,2060, ,369.28, 
227,2019/20,S92000003,d,40-64 years,Male,Total,d,11750, ,1330.44, ,5570, ,630.68, 
228,2019/20,S92000003,d,40-64 years,Female,Total,d,7090, ,756.97, ,3730, ,398.24, 
229,2019/20,S92000003,d,65plus years,Male,Total,d,8580, ,1827.76, ,4020, ,856.37, 
230,2019/20,S92000003,d,65plus years,Female,Total,d,10940, ,1903.54, ,4830, ,840.41, 
231,2020/21,S92000003,d,0-17 years,Male,Total,d,350, ,66.47, ,290, ,55.07, 
232,2020/21,S92000003,d,0-17 years,Female,Total,d,840, ,167.88, ,540, ,107.92, 
233,2020/21,S92000003,d,18-24 years,Male,Total,d,1380, ,595.8, ,830, ,358.34, 
234,2020/21,S92000003,d,18-24 years,Female,Total,d,1340, ,595.24, ,740, ,328.71, 
235,2020/21,S92000003,d,25-39 years,Male,Total,d,5820, ,1060.39, ,2930, ,533.84, 
236,2020/21,S92000003,d,25-39 years,Female,Total,d,3580, ,641.48, ,1880, ,336.87, 
237,2020/21,S92000003,d,40-64 years,Male,Total,d,10990, ,1245.51, ,5080, ,575.72, 
