_id,FinancialYear,HBT,HBTQF,Dataset,DatasetQF,LengthOfStay,NumberOfStays
239,1997/98,SB0802, ,Total,d,29 days - 6 months,10
240,1997/98,SB0802, ,Total,d,> 6 months,20
241,1997/98,S92000003,d,SMR01, ,< 1 day,1630
242,1997/98,S92000003,d,SMR01, ,1 - 7 days,4370
243,1997/98,S92000003,d,SMR01, ,8 - 28 days,1740
244,1997/98,S92000003,d,SMR01, ,29 days - 6 months,860
245,1997/98,S92000003,d,SMR01, ,> 6 months,100
246,1997/98,S92000003,d,SMR04, ,< 1 day,660
247,1997/98,S92000003,d,SMR04, ,1 - 7 days,7310
248,1997/98,S92000003,d,SMR04, ,8 - 28 days,11290
249,1997/98,S92000003,d,SMR04, ,29 days - 6 months,8080
250,1997/98,S92000003,d,SMR04, ,> 6 months,2110
251,1997/98,S92000003,d,Total,d,< 1 day,2290
252,1997/98,S92000003,d,Total,d,1 - 7 days,11670
253,1997/98,S92000003,d,Total,d,8 - 28 days,13040
254,1997/98,S92000003,d,Total,d,29 days - 6 months,8940
255,1997/98,S92000003,d,Total,d,> 6 months,2200
256,1998/99,SB0801, ,SMR01, ,< 1 day,0
257,1998/99,SB0801, ,SMR01, ,1 - 7 days,0
258,1998/99,SB0801, ,SMR01, ,8 - 28 days,0
259,1998/99,SB0801, ,SMR01, ,29 days - 6 months,0
260,1998/99,SB0801, ,SMR01, ,> 6 months,0
261,1998/99,SB0801, ,SMR04, ,< 1 day,0
262,1998/99,SB0801, ,SMR04, ,1 - 7 days,0
263,1998/99,SB0801, ,SMR04, ,8 - 28 days,0
264,1998/99,SB0801, ,SMR04, ,29 days - 6 months,0
265,1998/99,SB0801, ,SMR04, ,> 6 months,0
266,1998/99,SB0801, ,Total,d,< 1 day,0
267,1998/99,SB0801, ,Total,d,1 - 7 days,0
268,1998/99,SB0801, ,Total,d,8 - 28 days,0
269,1998/99,SB0801, ,Total,d,29 days - 6 months,0
270,1998/99,SB0801, ,Total,d,> 6 months,0
271,1998/99,S08000015, ,SMR01, ,< 1 day,220
272,1998/99,S08000015, ,SMR01, ,1 - 7 days,420
273,1998/99,S08000015, ,SMR01, ,8 - 28 days,100
274,1998/99,S08000015, ,SMR01, ,29 days - 6 months,60
275,1998/99,S08000015, ,SMR01, ,> 6 months,10
276,1998/99,S08000015, ,SMR04, ,< 1 day,50
277,1998/99,S08000015, ,SMR04, ,1 - 7 days,650
278,1998/99,S08000015, ,SMR04, ,8 - 28 days,1040
279,1998/99,S08000015, ,SMR04, ,29 days - 6 months,650
280,1998/99,S08000015, ,SMR04, ,> 6 months,150
281,1998/99,S08000015, ,Total,d,< 1 day,270
282,1998/99,S08000015, ,Total,d,1 - 7 days,1070
283,1998/99,S08000015, ,Total,d,8 - 28 days,1140
284,1998/99,S08000015, ,Total,d,29 days - 6 months,710
285,1998/99,S08000015, ,Total,d,> 6 months,150
286,1998/99,S08000016, ,SMR01, ,< 1 day,30
287,1998/99,S08000016, ,SMR01, ,1 - 7 days,80
288,1998/99,S08000016, ,SMR01, ,8 - 28 days,60
289,1998/99,S08000016, ,SMR01, ,29 days - 6 months,30
290,1998/99,S08000016, ,SMR01, ,> 6 months,0
291,1998/99,S08000016, ,SMR04, ,< 1 day,0
292,1998/99,S08000016, ,SMR04, ,1 - 7 days,180
293,1998/99,S08000016, ,SMR04, ,8 - 28 days,190
294,1998/99,S08000016, ,SMR04, ,29 days - 6 months,180
295,1998/99,S08000016, ,SMR04, ,> 6 months,50
296,1998/99,S08000016, ,Total,d,< 1 day,40
297,1998/99,S08000016, ,Total,d,1 - 7 days,260
298,1998/99,S08000016, ,Total,d,8 - 28 days,250
299,1998/99,S08000016, ,Total,d,29 days - 6 months,210
300,1998/99,S08000016, ,Total,d,> 6 months,50
301,1998/99,S08000017, ,SMR01, ,< 1 day,60
302,1998/99,S08000017, ,SMR01, ,1 - 7 days,140
303,1998/99,S08000017, ,SMR01, ,8 - 28 days,80
304,1998/99,S08000017, ,SMR01, ,29 days - 6 months,10
305,1998/99,S08000017, ,SMR01, ,> 6 months,0
306,1998/99,S08000017, ,SMR04, ,< 1 day,10
307,1998/99,S08000017, ,SMR04, ,1 - 7 days,180
308,1998/99,S08000017, ,SMR04, ,8 - 28 days,240
309,1998/99,S08000017, ,SMR04, ,29 days - 6 months,270
310,1998/99,S08000017, ,SMR04, ,> 6 months,80
311,1998/99,S08000017, ,Total,d,< 1 day,70
312,1998/99,S08000017, ,Total,d,1 - 7 days,320
313,1998/99,S08000017, ,Total,d,8 - 28 days,320
314,1998/99,S08000017, ,Total,d,29 days - 6 months,280
315,1998/99,S08000017, ,Total,d,> 6 months,80
316,1998/99,S08000029, ,SMR01, ,< 1 day,60
317,1998/99,S08000029, ,SMR01, ,1 - 7 days,130
318,1998/99,S08000029, ,SMR01, ,8 - 28 days,40
319,1998/99,S08000029, ,SMR01, ,29 days - 6 months,40
320,1998/99,S08000029, ,SMR01, ,> 6 months,10
321,1998/99,S08000029, ,SMR04, ,< 1 day,40
322,1998/99,S08000029, ,SMR04, ,1 - 7 days,490
323,1998/99,S08000029, ,SMR04, ,8 - 28 days,620
324,1998/99,S08000029, ,SMR04, ,29 days - 6 months,500
325,1998/99,S08000029, ,SMR04, ,> 6 months,120
326,1998/99,S08000029, ,Total,d,< 1 day,100
327,1998/99,S08000029, ,Total,d,1 - 7 days,620
328,1998/99,S08000029, ,Total,d,8 - 28 days,650
329,1998/99,S08000029, ,Total,d,29 days - 6 months,540
330,1998/99,S08000029, ,Total,d,> 6 months,130
331,1998/99,S08000019, ,SMR01, ,< 1 day,50
332,1998/99,S08000019, ,SMR01, ,1 - 7 days,140
333,1998/99,S08000019, ,SMR01, ,8 - 28 days,60
334,1998/99,S08000019, ,SMR01, ,29 days - 6 months,20
335,1998/99,S08000019, ,SMR01, ,> 6 months,0
336,1998/99,S08000019, ,SMR04, ,< 1 day,90
337,1998/99,S08000019, ,SMR04, ,1 - 7 days,220
338,1998/99,S08000019, ,SMR04, ,8 - 28 days,410
339,1998/99,S08000019, ,SMR04, ,29 days - 6 months,420
340,1998/99,S08000019, ,SMR04, ,> 6 months,90
341,1998/99,S08000019, ,Total,d,< 1 day,150
342,1998/99,S08000019, ,Total,d,1 - 7 days,360
343,1998/99,S08000019, ,Total,d,8 - 28 days,480
344,1998/99,S08000019, ,Total,d,29 days - 6 months,440
345,1998/99,S08000019, ,Total,d,> 6 months,90
346,1998/99,S08000020, ,SMR01, ,< 1 day,160
347,1998/99,S08000020, ,SMR01, ,1 - 7 days,460
348,1998/99,S08000020, ,SMR01, ,8 - 28 days,200
349,1998/99,S08000020, ,SMR01, ,29 days - 6 months,90
350,1998/99,S08000020, ,SMR01, ,> 6 months,0
351,1998/99,S08000020, ,SMR04, ,< 1 day,40
352,1998/99,S08000020, ,SMR04, ,1 - 7 days,580
353,1998/99,S08000020, ,SMR04, ,8 - 28 days,930
354,1998/99,S08000020, ,SMR04, ,29 days - 6 months,710
355,1998/99,S08000020, ,SMR04, ,> 6 months,190
356,1998/99,S08000020, ,Total,d,< 1 day,200
357,1998/99,S08000020, ,Total,d,1 - 7 days,1040
358,1998/99,S08000020, ,Total,d,8 - 28 days,1130
359,1998/99,S08000020, ,Total,d,29 days - 6 months,790
360,1998/99,S08000020, ,Total,d,> 6 months,190
361,1998/99,S08000031, ,SMR01, ,< 1 day,330
362,1998/99,S08000031, ,SMR01, ,1 - 7 days,1210
363,1998/99,S08000031, ,SMR01, ,8 - 28 days,480
364,1998/99,S08000031, ,SMR01, ,29 days - 6 months,380
365,1998/99,S08000031, ,SMR01, ,> 6 months,40
366,1998/99,S08000031, ,SMR04, ,< 1 day,170
367,1998/99,S08000031, ,SMR04, ,1 - 7 days,1830
368,1998/99,S08000031, ,SMR04, ,8 - 28 days,2700
369,1998/99,S08000031, ,SMR04, ,29 days - 6 months,2190
370,1998/99,S08000031, ,SMR04, ,> 6 months,660
371,1998/99,S08000031, ,Total,d,< 1 day,500
372,1998/99,S08000031, ,Total,d,1 - 7 days,3040
373,1998/99,S08000031, ,Total,d,8 - 28 days,3180
374,1998/99,S08000031, ,Total,d,29 days - 6 months,2570
375,1998/99,S08000031, ,Total,d,> 6 months,700
376,1998/99,S08000022, ,SMR01, ,< 1 day,200
377,1998/99,S08000022, ,SMR01, ,1 - 7 days,540
378,1998/99,S08000022, ,SMR01, ,8 - 28 days,180
379,1998/99,S08000022, ,SMR01, ,29 days - 6 months,80
380,1998/99,S08000022, ,SMR01, ,> 6 months,10
381,1998/99,S08000022, ,SMR04, ,< 1 day,20
382,1998/99,S08000022, ,SMR04, ,1 - 7 days,500
383,1998/99,S08000022, ,SMR04, ,8 - 28 days,800
384,1998/99,S08000022, ,SMR04, ,29 days - 6 months,540
385,1998/99,S08000022, ,SMR04, ,> 6 months,120
386,1998/99,S08000022, ,Total,d,< 1 day,220
387,1998/99,S08000022, ,Total,d,1 - 7 days,1050
388,1998/99,S08000022, ,Total,d,8 - 28 days,980
389,1998/99,S08000022, ,Total,d,29 days - 6 months,610
390,1998/99,S08000022, ,Total,d,> 6 months,120
391,1998/99,S08000032, ,SMR01, ,< 1 day,150
392,1998/99,S08000032, ,SMR01, ,1 - 7 days,370
393,1998/99,S08000032, ,SMR01, ,8 - 28 days,100
394,1998/99,S08000032, ,SMR01, ,29 days - 6 months,80
395,1998/99,S08000032, ,SMR01, ,> 6 months,0
396,1998/99,S08000032, ,SMR04, ,< 1 day,70
397,1998/99,S08000032, ,SMR04, ,1 - 7 days,630
398,1998/99,S08000032, ,SMR04, ,8 - 28 days,970
399,1998/99,S08000032, ,SMR04, ,29 days - 6 months,670
400,1998/99,S08000032, ,SMR04, ,> 6 months,180
401,1998/99,S08000032, ,Total,d,< 1 day,220
402,1998/99,S08000032, ,Total,d,1 - 7 days,1000
403,1998/99,S08000032, ,Total,d,8 - 28 days,1080
