financial_year,health_board,age_group,sex,discharge_count,discharge_count_qf,discharge_rates,discharge_rates_qf,patients_count,patient_count_qf,patients_rates,patient_rates_qf
2015,All of Scotland,40-64,Female,6400,NA,680.5,NA,3600,NA,382.78,NA
2015,All of Scotland,65+,Male,6700,NA,1537.82,NA,3640,NA,835.47,NA
2015,All of Scotland,65+,Female,7990,NA,1459.85,NA,4340,NA,792.96,NA
2016,All of Scotland,0-17,Male,420,NA,79.55,NA,330,NA,62.5,NA
2016,All of Scotland,0-17,Female,530,NA,105.2,NA,400,NA,79.4,NA
2016,All of Scotland,18-24,Male,1380,NA,559.78,NA,910,NA,369.13,NA
2016,All of Scotland,18-24,Female,1060,NA,432.98,NA,690,NA,281.84,NA
2016,All of Scotland,25-39,Male,5430,NA,1044.79,NA,3040,NA,584.93,NA
2016,All of Scotland,25-39,Female,3430,NA,642.24,NA,1960,NA,366.99,NA
2016,All of Scotland,40-64,Male,10020,NA,1127.21,NA,5350,NA,601.85,NA
2016,All of Scotland,40-64,Female,6530,NA,694.66,NA,3690,NA,392.54,NA
2016,All of Scotland,65+,Male,7070,NA,1591.07,NA,3690,NA,830.42,NA
2016,All of Scotland,65+,Female,8510,NA,1534.73,NA,4410,NA,795.32,NA
2017,All of Scotland,0-17,Male,470,NA,89.08,NA,360,NA,68.23,NA
2017,All of Scotland,0-17,Female,540,NA,107.47,NA,400,NA,79.61,NA
2017,All of Scotland,18-24,Male,1370,NA,564.89,NA,880,NA,362.85,NA
2017,All of Scotland,18-24,Female,1170,NA,491.14,NA,710,NA,298.04,NA
2017,All of Scotland,25-39,Male,5390,NA,1014.89,NA,3030,NA,570.52,NA
2017,All of Scotland,25-39,Female,3400,NA,623.52,NA,1970,NA,361.28,NA
2017,All of Scotland,40-64,Male,10210,NA,1151.26,NA,5360,NA,604.38,NA
2017,All of Scotland,40-64,Female,6420,NA,684.29,NA,3560,NA,379.45,NA
2017,All of Scotland,65+,Male,7940,NA,1755.78,NA,3950,NA,873.47,NA
2017,All of Scotland,65+,Female,9860,NA,1759.63,NA,4760,NA,849.48,NA
2018,All of Scotland,0-17,Male,450,NA,85.41,NA,340,NA,64.53,NA
2018,All of Scotland,0-17,Female,700,NA,139.46,NA,440,NA,87.66,NA
2018,All of Scotland,18-24,Male,1440,NA,601.19,NA,890,NA,371.57,NA
2018,All of Scotland,18-24,Female,1370,NA,588.98,NA,740,NA,318.14,NA
2018,All of Scotland,25-39,Male,5690,NA,1055.22,NA,3150,NA,584.17,NA
2018,All of Scotland,25-39,Female,3870,NA,700.61,NA,2050,NA,371.13,NA
2018,All of Scotland,40-64,Male,10440,NA,1181.93,NA,5330,NA,603.42,NA
2018,All of Scotland,40-64,Female,6750,NA,721.03,NA,3590,NA,383.48,NA
2018,All of Scotland,65+,Male,7790,NA,1694.05,NA,3890,NA,845.94,NA
2018,All of Scotland,65+,Female,10340,NA,1825.99,NA,4920,NA,868.85,NA
2019,All of Scotland,0-17,Male,520,NA,98.57,NA,330,NA,62.56,NA
2019,All of Scotland,0-17,Female,770,NA,153.5,NA,480,NA,95.69,NA
2019,All of Scotland,18-24,Male,1360,NA,575.1,NA,880,NA,372.13,NA
2019,All of Scotland,18-24,Female,1490,NA,649.3,NA,850,NA,370.41,NA
2019,All of Scotland,25-39,Male,6180,NA,1131.03,NA,3290,NA,602.12,NA
2019,All of Scotland,25-39,Female,3830,NA,686.58,NA,2060,NA,369.28,NA
2019,All of Scotland,40-64,Male,11750,NA,1330.44,NA,5570,NA,630.68,NA
2019,All of Scotland,40-64,Female,7090,NA,756.97,NA,3730,NA,398.24,NA
2019,All of Scotland,65+,Male,8580,NA,1827.76,NA,4020,NA,856.37,NA
